,NAME,Total Population,Total Male Population,Total Female Population,White - Total Population,White - Total Male Population,White - Total Female Population,African American - Total Population,African American - Total Male Population,African American - Total Female Population,American Indian - Total Population,American Indian - Total Male Population,American Indian - Total Female Population,Asian - Total Population,Asian - Total Male Population,Asian - Total Female Population,Native Hawaiian - Total Population,Native Hawaiian - Total Male Population,Native Hawaiian - Total Female Population,Other Races - Total Population,Other Races - Total Male Population,Other Races - Total Female Population,Two or More Races - Total Population,Two or More Races - Total Male Population,Two or More Races - Total Female Population,Hispanic or Latino - Total Population,Hispanic or Latino - Total Male Population,Hispanic or Latino - Total Female Population,Median Age,Male - Median Age,Female - Median Age,"U.S. citizen, born in the United States","U.S. citizen, born in Puerto Rico or U.S. Island Areas","U.S. citizen, born abroad of American parent(s)",U.S. citizen by naturalization,Not a U.S. citizen,Not a citizen - European,Not a citizen - Asian,Not a citizen - African,Not a citizen - Oceania,Not a citizen - Latin America,Not a citizen - North America,No Income,Total Housing Units,Housing Units - Owner occupied,Housing Units - Renter occupied,Median House Value,Lower Quartile House Value,Upper Quartile House Value,Median Household Income,Average Household Income,Total num of families,RATIO OF INCOME TO POVERTY Under .50,RATIO OF INCOME TO POVERTY 0.50-0.74,RATIO OF INCOME TO POVERTY 0.75-0.99,RATIO OF INCOME TO POVERTY 1.0-1.24,RATIO OF INCOME TO POVERTY 1.24 - 1.49,RATIO OF INCOME TO POVERTY 1.50 - 1.74,RATIO OF INCOME TO POVERTY 1.75 - 1.84,RATIO OF INCOME TO POVERTY 1.85 - 1.99,RATIO OF INCOME TO POVERTY 2.0 - 2.99,RATIO OF INCOME TO POVERTY 3.0 - 3.99,RATIO OF INCOME TO POVERTY 4.0 - 4.99,RATIO OF INCOME TO POVERTY 5.0 and over
0,Alabama,4850771,2350806,2499965,3317702,1627372,1690330,1287167,600483,686684,25098,12117,12981,62815,29370,33445,2213,1027,1186,66942,36416,30526,88834,44021,44813,198375,106362,92013,38.7,37.2,37.2,4641492.0,7482.0,33871.0,61709.0,106217.0,7545,27362,4820,613,64086,1791,580888.0,2231126,3297087,1434765,132100,74000,216200,46472,119712843000,1233863,69693,46767,51035,55158,54632,57134,22704,33960,208328,180975,133832,319645
1,Alaska,738565,386319,352246,481971,255894,226077,23702,13485,10217,104995,52736,52259,45604,21723,23881,9075,4655,4420,10505,5719,4786,62713,32107,30606,50162,26343,23819,33.9,33.4,33.4,664787.0,5420.0,12315.0,31836.0,24207.0,3478,13494,1337,919,3820,1159,30200.0,313937,469259,241484,261900,176600,363500,76114,23856699800,168265,4868,3006,3748,4193,5186,5024,2066,3196,23178,22681,19603,71516
2,Arizona,6809946,3385055,3424891,5277661,2619055,2658606,292831,152335,140496,300182,146399,153783,213417,99793,113624,13364,7345,6019,474583,240007,234576,237908,120121,117787,2103523,1057449,1046074,37.2,35.9,35.9,5802171.0,15628.0,80337.0,375102.0,536708.0,27142,81488,14240,2772,382823,28243,868051.0,2941894,4195590,2460534,193200,116000,307000,53510,183032057800,1622615,86381,53121,59665,66986,68120,70562,30633,43376,270171,228635,174811,470154
3,Arkansas,2977944,1461651,1516293,2302141,1133787,1168354,459969,219775,240194,19476,9125,10351,42368,20056,22312,7062,3588,3474,75106,40111,34995,71822,35209,36613,213246,111124,102122,37.9,36.5,36.5,2815412.0,2591.0,18862.0,44682.0,96397.0,3998,18163,2073,4360,66393,1410,334787.0,1353745,1928408,965690,118500,68700,188100,43813,70363913800,760300,39586,28690,32062,37921,39811,40595,16084,23043,141349,109733,78649,172777
4,California,38982847,19366579,19616268,23607242,11792093,11815149,2263222,1118622,1144600,292018,146472,145546,5503672,2604269,2899403,152027,74820,77207,5329952,2714694,2615258,1834714,915609,919105,15105860,7601731,7504129,36.1,35.0,35.0,27944679.0,78364.0,441316.0,5267884.0,5250604.0,256442,1375539,67000,37628,3447201,66720,5379187.0,13996299,21102459,17066023,443400,267600,713600,67169,1238596098600,8862523,380377,277799,328198,370688,374874,367617,143126,209436,1282875,1055235,849834,3222464
5,Colorado,5436519,2731315,2705204,4576201,2297803,2278398,221155,117833,103322,51406,25113,26293,164771,74811,89960,8580,4284,4296,225497,116554,108943,188909,94917,93992,1157200,589055,568145,36.5,35.6,35.6,4821416.0,10748.0,70779.0,213384.0,320192.0,26686,58531,15994,3175,208349,7457,494611.0,2319737,3535421,1782975,286100,187000,426500,65458,184071648000,1338736,40818,27654,33878,41448,42426,44641,19128,29237,194783,183458,158487,522778
6,Connecticut,3594478,1754046,1840432,2757064,1342996,1414068,376240,180177,196063,9385,5056,4329,156450,75231,81219,931,408,523,183754,95117,88637,110654,55061,55593,551916,275604,276312,40.8,39.0,39.0,2952331.0,95819.0,34435.0,257505.0,254388.0,43510,62086,9688,848,131899,6357,347203.0,1507711,2424712,1053739,270100,180200,400900,73781,144343658300,895667,27399,16019,19065,21456,23501,24920,10444,15238,104689,107965,99511,425460
7,Delaware,943732,456876,486856,652170,317374,334796,206290,96863,109427,3482,1688,1794,36553,17816,18737,465,256,209,18512,9745,8767,26260,13134,13126,84793,43533,41260,39.8,38.2,38.2,842423.0,8610.0,6671.0,40389.0,45639.0,2973,15309,3876,40,22894,547,99095.0,423489,663067,255558,238600,164200,342100,63036,29649491900,235505,8685,5144,5432,7203,7374,8473,3201,4841,34182,35077,29091,86802
8,District of Columbia,672391,319046,353345,273471,136874,136597,321062,145263,175799,1757,765,992,25558,10625,14933,289,190,99,30961,16500,14461,19293,8829,10464,71829,36601,35228,33.9,33.8,33.8,564734.0,2923.0,10313.0,39159.0,55262.0,10815,9697,7420,680,25385,1265,64430.0,308161,278164,354285,537400,335600,845600,77649,32271215700,121411,8076,4413,4163,4353,3965,3388,1375,2114,10955,10290,7942,60377
9,Florida,20278447,9914361,10364086,15343997,7529149,7814848,3270863,1569733,1701130,56730,29440,27290,543394,248961,294433,12342,5838,6504,536298,272622,263676,514823,258618,256205,5015015,2475710,2539305,41.8,40.2,40.2,15438189.0,495437.0,238454.0,2235304.0,1871063.0,147378,168946,27082,4478,1455866,67189,2544652.0,9259684,12748720,7099078,178700,101000,296300,50883,548238194100,4847306,214804,150151,174966,207519,222656,227644,90325,132486,846686,687005,512707,1380357
10,Georgia,10201635,4968887,5232748,6061821,3000889,3060932,3195268,1496192,1699076,30552,15097,15455,388946,187526,201420,5237,2469,2768,282570,152315,130255,237241,114399,122842,950380,500098,450282,36.4,35.0,35.0,9040698.0,39939.0,97763.0,426341.0,596894.0,37490,145349,43215,2360,358293,10187,1315749.0,4203288,6350715,3592422,158400,91600,262400,52977,273862985500,2476248,134708,84363,98662,105854,109442,111389,45247,65853,408742,334320,257345,720323
11,Hawaii,1421658,713981,707677,357308,193177,164131,25884,16069,9815,2756,1472,1284,540556,251212,289344,142600,72597,70003,14056,7774,6282,338498,171680,166818,145381,74635,70746,38.8,37.2,37.2,1120443.0,13912.0,30592.0,148632.0,108079.0,4861,74644,631,19718,5780,2445,145537.0,535543,833481,544005,563900,359800,797100,74923,43531837800,317764,9616,5911,6720,7994,8386,9977,4383,5974,46036,46652,41607,124508
12,Idaho,1657375,830627,826748,1507880,754292,753588,11231,6348,4883,21323,10661,10662,22720,9603,13117,2343,1116,1227,47964,24999,22965,43914,23608,20306,201978,103870,98108,35.9,35.1,35.1,1544149.0,1328.0,13441.0,37777.0,60680.0,5414,10426,1878,700,39761,2501,156519.0,701196,1143927,483568,176800,120400,270800,50985,41016958500,414227,15316,10629,15462,16845,19346,20472,8131,12545,80190,65635,46975,102681
13,Illinois,12854526,6312600,6541926,9236701,4560825,4675876,1833501,860780,972721,29696,15197,14499,671811,323218,348593,4275,2219,2056,767145,395761,371384,311397,154600,156797,2162070,1107604,1054466,37.7,36.4,36.4,10912660.0,52020.0,88988.0,886976.0,913882.0,122701,224465,32250,2595,522089,9782,1455849.0,5334847,8623753,3930208,179700,105700,294900,61229,410830492900,3122491,127307,84357,93924,106231,110189,109344,45870,68498,465894,426688,354553,1129636
14,Indiana,6614418,3258279,3356139,5546787,2735345,2811442,613060,295156,317904,15027,7909,7118,137680,67103,70577,2635,1179,1456,145791,75571,70220,153438,76016,77422,441968,228676,213292,37.5,36.3,36.3,6236673.0,10772.0,33313.0,126702.0,206958.0,13440,68968,13245,1081,106891,3333,655610.0,2855378,4565106,1860664,130200,82900,197300,52182,175565200400,1664130,71534,47068,53118,60280,64985,69367,29930,41354,294325,268524,207140,456505
15,Iowa,3118102,1548035,1570067,2824197,1397019,1427178,106762,56824,49938,10791,5635,5156,71178,35405,35773,2913,1296,1617,39527,21418,18109,62734,30438,32296,178294,92892,85402,38.1,36.8,36.8,2943392.0,2263.0,15968.0,59211.0,97268.0,7567,35292,9137,923,42762,1587,214432.0,1376133,2228840,788828,137200,84600,213000,56570,92004632400,800576,24527,16459,19837,24481,26271,28178,12102,20138,134128,131522,109239,253694
16,Kansas,2903820,1445980,1457840,2465518,1222930,1242588,168470,86878,81592,23503,11563,11940,80738,39046,41692,1923,1064,859,65253,34383,30870,98415,50116,48299,334860,173527,161333,36.3,35.1,35.1,2675241.0,3608.0,21191.0,76003.0,127777.0,5662,31792,7122,683,80927,1591,244144.0,1259647,1953605,869875,139200,79000,220200,55477,83734036100,735106,24229,17964,20567,24485,26791,29775,12207,17960,122890,115857,91179,231202
17,Kentucky,4424376,2179025,2245351,3862600,1898632,1963968,353088,176071,177017,9324,4515,4809,59593,27717,31876,2271,1126,1145,41197,23713,17484,96303,47251,49052,152072,82989,69083,38.6,37.2,37.2,4234087.0,4789.0,24798.0,61265.0,99437.0,9048,30441,10504,748,46846,1850,450574.0,1965202,2945065,1348180,130000,76800,203400,46535,111119964500,1136917,63964,45541,47710,48695,51014,51097,20569,29290,198347,171229,126348,283113
18,Louisiana,4663461,2281239,2382222,2909599,1440430,1469169,1500648,711432,789216,27094,13713,13381,80980,39376,41604,1401,578,823,56216,32329,23887,87523,43381,44142,231708,126117,105591,36.4,35.1,35.1,4439549.0,6430.0,23827.0,79168.0,114487.0,7472,29089,3869,329,72074,1654,592375.0,2031064,3034255,1499963,152900,83100,234300,46710,116180624600,1122064,70776,47814,48268,51982,51612,50592,19868,28267,177903,152349,120064,302569
19,Maine,1330158,651040,679118,1258918,615604,643314,16906,9554,7352,8212,3996,4216,14804,6036,8768,249,119,130,2967,1462,1505,28102,14269,13833,20427,10214,10213,44.3,43.0,43.0,1268488.0,1074.0,13040.0,26596.0,20960.0,4043,6095,4066,262,2300,4194,89654.0,735711,974385,319823,179900,110800,275700,53024,38900553800,348315,10667,8541,10054,11383,13121,13715,5544,9384,58302,55783,45725,106096
20,Maryland,5996079,2906277,3089802,3395212,1667888,1727324,1782256,830967,951289,16281,7803,8478,373065,177691,195374,2830,1434,1396,236834,127091,109743,189601,93403,96198,573303,298474,274829,38.5,36.9,36.9,5013387.0,19469.0,68510.0,451224.0,443489.0,29806,114423,69302,1577,224254,4127,597136.0,2427014,4021011,1834573,296500,196600,443300,78916,226494637200,1460186,41683,25216,29190,33977,38569,41777,17076,26351,175983,178434,163987,687943
21,Massachusetts,6789319,3293426,3495893,5358373,2595169,2763204,499774,241782,257992,14336,7346,6990,426225,202977,223248,2253,1061,1192,278835,139320,139515,209523,105771,103752,760177,376899,383278,39.4,37.9,37.9,5500726.0,124415.0,66949.0,577937.0,519292.0,80758,157020,45669,2401,218290,15154,597499.0,2864989,4338157,2200434,352600,239500,512400,74167,263375221200,1647619,55391,35447,37689,41153,42303,44128,18760,28567,192814,194729,181862,774776
22,Michigan,9925568,4880579,5044989,7813199,3861608,3951591,1374515,652101,722414,51804,25990,25814,289082,141215,147867,2808,1213,1595,115258,60281,54977,278902,138171,140731,484568,246126,238442,39.6,38.2,38.2,9200023.0,12671.0,59678.0,336737.0,316459.0,43405,154381,13511,1703,83914,19545,984130.0,4568200,7101585,2594285,136400,76500,221200,52668,280334978000,2509610,114278,77679,81932,88329,92036,99165,41033,60595,415365,384377,299696,755125
23,Minnesota,5490726,2731831,2758895,4598252,2282140,2316112,326953,167148,159805,57566,29339,28227,255935,124095,131840,1976,1138,838,95600,50984,44616,154444,76987,77457,284649,147629,137020,37.9,36.9,36.9,5002368.0,3882.0,36079.0,225510.0,222887.0,15872,72723,45952,1612,80501,6227,349568.0,2404624,4006556,1350634,199700,133100,296100,65699,186889633700,1390181,35751,25251,30486,35869,39265,43128,17555,26604,193949,203886,184210,554227
24,Mississippi,2986220,1448717,1537503,1755471,865599,889872,1122576,527394,595182,13258,6350,6908,28859,13646,15213,597,145,452,27530,16736,10794,37929,18847,19082,88261,49579,38682,36.9,35.4,35.4,2897822.0,4673.0,14831.0,26424.0,42470.0,2798,10420,1038,234,26854,1126,394364.0,1308259,1968633,923505,109300,61200,182400,42009,64413682400,745382,54137,35398,34467,39639,37717,38829,16697,21250,131895,106124,74211,155018
25,Missouri,6075300,2981332,3093968,5004537,2465508,2539029,703061,332161,370900,25933,13538,12395,112959,53347,59612,6336,3592,2744,71084,36537,34547,151390,76649,74741,244420,126738,117682,38.4,37.0,37.0,5787612.0,6428.0,38425.0,111794.0,131041.0,15657,48853,10328,1964,51294,2945,559303.0,2763250,4093258,1807005,145400,86500,227700,51542,167377874100,1537957,62946,44135,50863,57453,61711,65149,27490,41359,267701,239372,183883,435895
26,Montana,1029862,517860,512002,916664,461797,454867,4438,2856,1582,66865,33537,33328,7448,2702,4746,571,318,253,5492,2870,2622,28384,13780,14604,36626,18758,17868,39.8,38.8,38.8,998903.0,745.0,8443.0,11375.0,10396.0,2381,2837,467,316,2446,1949,74385.0,501099,697865,303158,209100,125500,309000,50801,28819555200,260749,9788,6494,7561,9546,9424,10332,4923,6896,45186,42111,32423,76065
